Patent / product group	Potential application	Highest level	Experiment level	Specific experiments	Principal result / validation stage	Where to find the result	Evidence type and limitations
Jinbo HC8/HC16 and 16-repeat constructs	Platform-linked applications: injectable lyophilized-fiber dermal filler for facial wrinkles; injectable gel for facial volume/contour correction; wound- and post-procedure skin-repair devices. Exact construct-to-commercial-product mapping is not publicly confirmed.	E5	E1	SDS-PAGE, mass spectrometry, Ni-NTA/anion exchange, endotoxin, long-term stability, and crystallography	Patent reports high purity, a target of <=5 EU/mL endotoxin, and more than six months of aqueous stability. Related functional-region structures are deposited as 6A0A/6A0C.	US11396537B2 Figs. 1-7 and Examples; PDB 6A0A/6A0C	Patent-internal results; the PDB entries represent a related short functional region, not complete 480-501 aa models.
Jinbo HC8/HC16 and 16-repeat constructs	Platform-linked applications: injectable lyophilized-fiber dermal filler for facial wrinkles; injectable gel for facial volume/contour correction; wound- and post-procedure skin-repair devices. Exact construct-to-commercial-product mapping is not publicly confirmed.	E5	E2	Cell adhesion, fibroblast behavior, and ECM expression	Improved adhesion and extracellular-matrix-related endpoints relative to controls were reported.	US11396537B2 Fig. 2; https://link.springer.com/article/10.1186/s42825-022-00103-5	Study material was company supplied and does not replace product-specific clinical evaluation.
Jinbo-related medical devices	Marketed/authorized: injectable lyophilized-fiber dermal implant/filler for facial wrinkles; injectable gel for facial volume/contour correction; Class II recombinant-collagen wound/skin-repair solution or device.	E5	E4/E5	Registration clinical/human use, regulatory review, and marketed use	Lyophilized fiber authorized in 2021; injectable gel authorized in 2025 for mid-face volume loss and contour defects.	NMPA registrations 20213130488 and 20253130751; regulatory URLs in the master table	Public summaries do not contain complete registration-test or clinical reports.
Wuhan TRHCIII-1	Patent-proposed: self-assembling collagen fibers or hydrogels for wound dressings, tissue repair and tissue-engineering scaffolds; no verified sequence-specific commercial product.	E1	E1	Circular dichroism, thermal transition, SEM, and PBS-triggered self-assembly	Reported an approximately 225-nm CD feature, thermal transition, and fiber morphology/self-assembly.	CN115521372B figures and examples	Patent-internal evidence; no independent atomic-level confirmation found.
Trautec COL17 170801/170802	Patent-proposed: scar and wound healing, dermal tissue repair, hair-follicle repair and hair-growth/scalp-care products; the related marketed platform includes sterile post-procedure wound-care lyophilized fiber. Exact construct-to-product mapping is unconfirmed.	E5	E1/E2	Expression/purification and cell-function testing	Demonstrated production and reported skin/cell-related functions.	US11787852B2 examples and figures	Patent-internal evidence; fragments are not full-length transmembrane COL17.
Trautec Kefuyan product	Marketed/authorized: sterile lyophilized-fiber dressing for non-chronic wounds and post-laser, light-based, peel or minimally invasive aesthetic-procedure wound care; related product formats include scar gel, liquid dressing, gel and spray.	E5	E4/E5	Sterile Class II device review and human wound-care use	Registration 20232141168 for non-chronic wounds and post-aesthetic-procedure wound care.	https://www.trautec.com.cn/show-187.html	Company-published registration information; full technical-review report was not located.
Bolt 18B	Patent-proposed/formulated: powder or gel cleanser/exfoliant, mattifying or detoxifying powder, topical cream/emulsion, color-cosmetic pigment carrier, and film-forming protective skin barrier or anti-aging cream.	E4	E1/E4	Film formation, microscopy, barrier/mechanical tests, and small human-use study	Patent reports material performance and cosmetic human-use results.	US20240050352A1 examples and figures	Not a drug/device registration-grade controlled trial; sample size and blinding require review in the patent.
eADF4(C16)	Platform-level/related silk-composition applications: shampoo, conditioner, leave-on hair treatment, styling gel/spray/foam, hair oil/cream/tonic, frizz-control and cuticle-coating products; exact eADF4(C16)-to-finished-product mapping is not established.	E1	E1	Salt/pH-triggered self-assembly, fibrillation/film formation, and ex vivo hair testing	Supports material self-assembly and formulation uses.	US7951908B2 and WO2020214854A1 examples	Primarily cell-free or ex vivo evidence.
Giant Biogene FHLC	Marketed platform-level: recombinant collagen medical dressing/mask, liquid dressing and post-procedure or skin-repair products; topical single-use repair essence/serum. Exact 1071-aa FHLC sequence-to-current-product mapping is unconfirmed.	E5	E1-E5	Expression/purification, material/cell studies, wound-repair use, and Class II device commercialization	Related dressing platform has held Class II device registration since 2011 and is used for wound care.	CN1371919A, CN102351954B, and Giant Biogene product website	Exact identity between the 1071-aa sequence and current commercial batches has not been publicly confirmed.
Bellafill comparator	Marketed injectable dermal filler for nasolabial folds and moderate-to-severe atrophic, distensible cheek acne scars.	E5	E3-E5	Animal testing, biocompatibility, clinical effectiveness, PMA review, and post-market surveillance	FDA-authorized for nasolabial folds and moderate-to-severe atrophic distensible cheek acne scars in adults; post-market granuloma events are searchable.	FDA P020012/S009 SSED/label and MAUDE	Not a recombinant scaffold protein; included as a regulatory-maturity comparator.
BOTOX Cosmetic comparator	Marketed prescription intramuscular aesthetic injection for temporary improvement of frown lines, crow's-feet lines, forehead lines and platysma bands; regulatory comparator only.	E5	E3-E5	Toxicology, potency, controlled trials, BLA review, and pharmacovigilance	FDA-authorized for multiple cosmetic indications; labeling includes a boxed warning for distant spread of toxin effect.	BL 103000/5000 approval letter and 2024 prescribing information	High-risk neurotoxin; included only as a regulatory comparator, not a design candidate.
Other E1/E2 patents	Varies by family: topical serums/essences, creams, toners, masks, cleansers and hair-care products; wound dressings, repair hydrogels/scaffolds, and proposed injectables/fillers. See the sequence-master row; most are patent-proposed rather than marketed.	E1/E2	E1/E2	Expression/purification, physicochemical, cellular, hair-tress, or skin-model experiments	Evidence supports expression or in vitro activity; no controlled human study or construct-specific authorization was verified.	Patent examples/figures linked in the master table	Do not upgrade the evidence level without complete raw or regulatory data.
